,,IOC WORLD BIRD LIST (12.2)  http://dx.doi.org/10.14344/IOC.ML.12.2,,,,,,,,,,,,
,,"Gill, F, D Donsker, and P Rasmussen (Eds). 2022. IOC World Bird List (v 12.2). Doi 10.14344/IOC.ML.12.2.  http://www.worldbirdnames.org/",,,,,,,,,,,,
,,44,253,,2383,11093,19880,,,,,,,
Infraclass,Parvclass,Order,Family (Scientific),Family (English),Genus,Species (Scientific),Subspecies,Authority,Species (English),Breeding Range,Breeding Range-Subregion(s),Nonbreeding Range,Code,Comment
PALAEOGNATHAE,,,,RATITES,,,,,,,,,,
,,STRUTHIONIFORMES,,,,,,,,,,,PHY,The ratites (paleognaths) are the sister group to the rest of living birds (neognaths).
,,,Struthionidae,Ostriches,,,,,,,,,,
,,,,,Struthio,,,"Linnaeus, 1758",,,,,,
,,,,,,camelus,,"Linnaeus, 1758",Common Ostrich,AF,"w, c, e, sw",,TAX,See Miller et al. (2011) re genetic structure and phylogeography of ostrich populations.
,,,,,,,syriacus †,"Rothschild, 1919",,,Syrian and Arabian deserts,,,
,,,,,,,camelus,"Linnaeus, 1758",,,"s Morocco and Mauritania to s Egypt, Eritrea and n, w Ethiopia, s to Cameroon and n Uganda",,,
,,,,,,,massaicus,"Neumann, 1898",,,s Kenya and c Tanzania,,,
,,,,,,,australis,"Gurney, JH Sr, 1868",,,s Africa,,,
,,,,,,molybdophanes,,"Reichenow, 1883",Somali Ostrich,AF,"extreme se S Sudan, s, e Ethiopia, Somalia, Djibouti and n, ec Kenya",,AS,Genetic analyses support species recognition of Somali Ostrich and perhaps other subspecies groups (Miller et al. 2011).
,,RHEIFORMES,,,,,,,,,,,,
,,,Rheidae,Rheas,,,,,,,,,,
,,,,,Rhea,,,"Brisson, 1760",,,,,,
,,,,,,americana,,"(Linnaeus, 1758)",Greater Rhea,SA,se,,,
,,,,,,,americana,"(Linnaeus, 1758)",,,"n, e Brazil",,,
,,,,,,,intermedia,"Rothschild & Chubb, C, 1914",,,se Brazil and Uruguay,,,
,,,,,,,nobilis,"Brodkorb, 1939",,,e Paraguay,,,
,,,,,,,araneipes,"Brodkorb, 1938",,,"sw Brazil, e Bolivia and w Paraguay",,,
,,,,,,,albescens,"Lynch & Holmberg, 1878",,,"ne, e Argentina",,,
,,,,,,pennata,,"d'Orbigny, 1837",Lesser Rhea,SA,Southern Cone,,"TAX, ENG",Pterocnemia merged into Rhea (SACC 348); change English name to Lesser Rhea to conform to general usage.
,,,,,,,garleppi,"(Chubb, C, 1913)",,,"s Peru, sw Bolivia and nw Argentina",,,
,,,,,,,tarapacensis,"(Chubb, C, 1913)",,,n Chile,,,
,,,,,,,pennata,"d'Orbigny, 1837",,,"s Chile and wc, s Argentina",,,
,,APTERYGIFORMES,,,,,,,,,,,,
,,,Apterygidae,Kiwis,,,,,,,,,PHY,Kiwis are sister to the clade of emus and cassowaries/tinamous (Cracraft 2013; Prum et al. 2015).
,,,,,Apteryx,,,"Shaw, 1813",,,,,,
,,,,,,australis,,"Shaw, 1813",Southern Brown Kiwi,AU,sw South and Stewart Is. (New Zealand),,,
,,,,,,,australis,"Shaw, 1813",,,sw South I. (New Zealand),,,
,,,,,,,lawryi,"Rothschild, 1893",,,Stewart I. (New Zealand),,,
,,,,,,mantelli,,"Bartlett, AD, 1852",North Island Brown Kiwi,AU,North I. (New Zealand),,,
,,,,,,rowi,,"Tennyson, Palma, Robertson, HA, Worthy & Gill, BJ, 2003",Okarito Kiwi,AU,"Okarito Forest (wc South I., New Zealand)",,,
,,,,,,owenii,,"Gould, 1847",Little Spotted Kiwi,AU,Kapiti I. (off sw North I.) and other predator-free satellites (New Zealand),,,
,,,,,,haastii,,"Potts, 1872",Great Spotted Kiwi,AU,montane n South I. (New Zealand),,,
,,CASUARIIFORMES,,,,,,,,,,,,
,,,Casuariidae,"Cassowaries, Emu",,,,,,,,,"PHY, TAX",Includes Dromaiidae.
,,,,,Casuarius,,,"Brisson, 1760",,,,,,
,,,,,,casuarius,,"(Linnaeus, 1758)",Southern Cassowary,AU,"Aru Is. (sw of New Guinea), New Guinea and e Cape York Pen., ne QLD (ne Australia)",,,
,,,,,,bennetti,,"Gould, 1857",Dwarf Cassowary,AU,"Yapen (Geelvink Bay is., nw New Guinea), New Guinea and New Britain (se Bismarck Arch.)",,,
